origpathname,unitid,format,licenseuri,fileuri,scientificname,typifiedname,family,subfamily,genus,species,subspecies,zoogeoregion,countrycode,country,province,station,eventdate,view
Anthribidae/Phaeotragus gigas  32175cz77.jpg,1,image/jpeg,http://creativecommons.org/licenses/by-sa/3.0/,http://projects.biodiversity.be/openup/rbins/1.jpg,Phaeotragus gigas,Phaeotragus gigas,Anthribidae,"",Phaeotragus,gigas,,AT,GQ,Equatorial Guinea,,Benito,,Dorsal
Anthribidae/Phaeotragus gigas 32178cz82.jpg,2,image/jpeg,http://creativecommons.org/licenses/by-sa/3.0/,http://projects.biodiversity.be/openup/rbins/2.jpg,Phaeotragus gigas,Phaeotragus gigas,Anthribidae,"",Phaeotragus,gigas,,AT,GQ,Equatorial Guinea,,Benito,,Lateral
Anthribidae/Tophroderes phrenatus 32171cz74.jpg,3,image/jpeg,http://creativecommons.org/licenses/by-sa/3.0/,http://projects.biodiversity.be/openup/rbins/3.jpg,Tophroderes phrenatus,Tophroderes phrenatus,Anthribidae,"",Tophroderes,phrenatus,,AT,MG,Madagascar,,,,Dorsal
Brentidae/Eutrachelus temmincki 32188cz94.jpg,4,image/jpeg,http://creativecommons.org/licenses/by-sa/3.0/,http://projects.biodiversity.be/openup/rbins/4.jpg,Eutrachelus temmincki,Eutrachelus temmincki,Brentidae,"",Eutrachelus,temmincki,,OL,ID,Indonesia,Sumatra,,,Dorsal
Brentidae/Eutrachelus temmincki 32195cz99.jpg,5,image/jpeg,http://creativecommons.org/licenses/by-sa/3.0/,http://projects.biodiversity.be/openup/rbins/5.jpg,Eutrachelus temmincki,Eutrachelus temmincki,Brentidae,"",Eutrachelus,temmincki,,OL,ID,Indonesia,Sumatra,,,Dorsal
Brentidae/Eutrachelus temmincki 32200cz11.jpg,6,image/jpeg,http://creativecommons.org/licenses/by-sa/3.0/,http://projects.biodiversity.be/openup/rbins/6.jpg,Eutrachelus temmincki,Eutrachelus temmincki,Brentidae,"",Eutrachelus,temmincki,,OL,ID,Indonesia,Sumatra,,,Lateral
Buprestidae/Aaata finchi 40187cz90.jpg,7,image/jpeg,http://creativecommons.org/licenses/by-sa/3.0/,http://projects.biodiversity.be/openup/rbins/7.jpg,Aaata finchi,Aaata finchi,Buprestidae,"",Aaata,finchi,,PA,UZ,Uzbekistan,,,,Dorsal
Buprestidae/Aaata finchi 40191cz95.jpg,8,image/jpeg,http://creativecommons.org/licenses/by-sa/3.0/,http://projects.biodiversity.be/openup/rbins/8.jpg,Aaata finchi,Aaata finchi,Buprestidae,"",Aaata,finchi,,PA,UZ,Uzbekistan,,,,Lateral
Buprestidae/Actenodes costipennis 42136cz39.jpg,9,image/jpeg,http://creativecommons.org/licenses/by-sa/3.0/,http://projects.biodiversity.be/openup/rbins/9.jpg,Actenodes costipennis,Actenodes costipennis,Buprestidae,"",Actenodes,costipennis,,NT,BR,Brazil,Santa Catarina ,Nova Teutônia ,,Dorsal
Buprestidae/Archardella americana 39817cz20.jpg,10,image/jpeg,http://creativecommons.org/licenses/by-sa/3.0/,http://projects.biodiversity.be/openup/rbins/10.jpg,Archardella americana,Archardella americana,Buprestidae,"",Archardella,americana,,NT,AR,Argentina,,,,Dorsal
