filename,processed,interpreted_scientific_name
/home/nnoe/openup_images_source,false
/home/nnoe/openup_images_source/Anthribidae,false
/home/nnoe/openup_images_source/Anthribidae/Phaeotragus gigas  32175cz77.jpg,true,Phaeotragus gigas
/home/nnoe/openup_images_source/Anthribidae/Phaeotragus gigas 32178cz82.jpg,true,Phaeotragus gigas
/home/nnoe/openup_images_source/Anthribidae/Tophroderes phrenatus 32171cz74.jpg,true,Tophroderes phrenatus
/home/nnoe/openup_images_source/Brentidae,false
/home/nnoe/openup_images_source/Brentidae/Eutrachelus temmincki 32188cz94.jpg,true,Eutrachelus temmincki
/home/nnoe/openup_images_source/Brentidae/Eutrachelus temmincki 32195cz99.jpg,true,Eutrachelus temmincki
/home/nnoe/openup_images_source/Brentidae/Eutrachelus temmincki 32200cz11.jpg,true,Eutrachelus temmincki
/home/nnoe/openup_images_source/Buprestidae,false
/home/nnoe/openup_images_source/Buprestidae/Aaata finchi 40187cz90.jpg,true,Aaata finchi
/home/nnoe/openup_images_source/Buprestidae/Aaata finchi 40187cz90.jpg.xmp,false
/home/nnoe/openup_images_source/Buprestidae/Aaata finchi 40191cz95.jpg,true,Aaata finchi
/home/nnoe/openup_images_source/Buprestidae/Actenodes costipennis 42136cz39.jpg,true,Actenodes costipennis
/home/nnoe/openup_images_source/Buprestidae/Actenodes costipennis 42136cz39.jpg.xmp,false
/home/nnoe/openup_images_source/Buprestidae/Archardella americana 39817cz20.jpg,true,Archardella americana
/home/nnoe/openup_images_source/Buprestidae/Buprestis panamensis 40308cz12.jpg,true,Buprestis panamensis
/home/nnoe/openup_images_source/Buprestidae/Buprestis panamensis 40313cz19.jpg,true,Buprestis panamensis
/home/nnoe/openup_images_source/Buprestidae/Buprestis rufipes 40339cz42.jpg,true,Buprestis rufipes
/home/nnoe/openup_images_source/Buprestidae/Calodema kirbyi 42025cz28.jpg,true,Calodema kirbyi
/home/nnoe/openup_images_source/Buprestidae/Calodema plebeja 42029cz33.jpg,true,Calodema plebeja
/home/nnoe/openup_images_source/Buprestidae/Calodema plebeja 42034.jpg,true,Calodema plebeja
/home/nnoe/openup_images_source/Buprestidae/Calodema regalis blairi AT 41974cz80.jpg,true,Calodema regalis blairi AT
/home/nnoe/openup_images_source/Buprestidae/Calodema regalis blairi AT 41981.jpg,true,Calodema regalis blairi AT
/home/nnoe/openup_images_source/Buprestidae/Calodema regalis blairi AT 41985.jpg,true,Calodema regalis blairi AT
/home/nnoe/openup_images_source/Buprestidae/Calodema ribbei 42035cz37.jpg,true,Calodema ribbei
/home/nnoe/openup_images_source/Buprestidae/Calodema ribbei 42038cz41.jpg,true,Calodema ribbei
/home/nnoe/openup_images_source/Buprestidae/Calodema ribbei 42042cz49.jpg,true,Calodema ribbei
/home/nnoe/openup_images_source/Buprestidae/Capnodis anthracina 40281cz85.JPG,false
/home/nnoe/openup_images_source/Buprestidae/Capnodis anthracina 40291cz93.jpg,true,Capnodis anthracina
/home/nnoe/openup_images_source/Buprestidae/Capnodis carbonaria 40196cz00.jpg,true,Capnodis carbonaria
/home/nnoe/openup_images_source/Buprestidae/Capnodis carbonaria 40201cz05.JPG,false
/home/nnoe/openup_images_source/Buprestidae/Capnodis carbonaria 40206cz15.jpg,true,Capnodis carbonaria
/home/nnoe/openup_images_source/Buprestidae/Capnodis carbonaria 40225cz28.jpg,true,Capnodis carbonaria
/home/nnoe/openup_images_source/Buprestidae/Capnodis cariosa 40216cz20.jpg,true,Capnodis cariosa
/home/nnoe/openup_images_source/Buprestidae/Capnodis cariosa 40221cz24.jpg,true,Capnodis cariosa
/home/nnoe/openup_images_source/Buprestidae/Capnodis cariosa 40256cz60.JPG,false
/home/nnoe/openup_images_source/Buprestidae/Capnodis cariosa 40271cz73.jpg,true,Capnodis cariosa
/home/nnoe/openup_images_source/Buprestidae/Capnodis excisa 40261cz65.jpg,true,Capnodis excisa
/home/nnoe/openup_images_source/Buprestidae/Capnodis excisa 40274cz76.jpg,true,Capnodis excisa
/home/nnoe/openup_images_source/Buprestidae/Capnodis milliaris 40266cz70.jpg,true,Capnodis milliaris
/home/nnoe/openup_images_source/Buprestidae/Capnodis milliaris 40277cz80.jpg,true,Capnodis milliaris
/home/nnoe/openup_images_source/Buprestidae/Capnodis porosa 40286cz90JPG.JPG,false
/home/nnoe/openup_images_source/Buprestidae/Capnodis porosa 40298cz02.JPG,false
/home/nnoe/openup_images_source/Buprestidae/Chalcophora alternans weiratheri 42262cz66.jpg,true,Chalcophora alternans weiratheri
/home/nnoe/openup_images_source/Buprestidae/Chalcotaenia australiasae 42290cz95.jpg,true,Chalcotaenia australiasae
/home/nnoe/openup_images_source/Buprestidae/Chalcotaenia australiasae 42296cz99.jpg,true,Chalcotaenia australiasae
/home/nnoe/openup_images_source/Buprestidae/Chrysaspina ducarmei 42061cz63.jpg,true,Chrysaspina ducarmei
/home/nnoe/openup_images_source/Buprestidae/Chrysaspina ducarmei AT 2064.jpg,true,Chrysaspina ducarmei AT
/home/nnoe/openup_images_source/Buprestidae/Chrysaspina ducarmei AT 42056cz60.jpg,true,Chrysaspina ducarmei AT
/home/nnoe/openup_images_source/Buprestidae/Chrysochroa (Demochroa) corberti 39708cz10.jpg,true,Chrysochroa (Demochroa) corberti
/home/nnoe/openup_images_source/Buprestidae/Chrysochroa (Demochroa) corberti 39735cz39.jpg,true,Chrysochroa (Demochroa) corberti
/home/nnoe/openup_images_source/Buprestidae/Chrysochroa (Demochroa) gratiosa 39711cz13.JPG,false
/home/nnoe/openup_images_source/Buprestidae/Chrysochroa (Demochroa) gratiosa 39740cz45.JPG,false
/home/nnoe/openup_images_source/Buprestidae/Chrysochroa (Demochroa) lacordairei 39714cz16.jpg,true,Chrysochroa (Demochroa) lacordairei
/home/nnoe/openup_images_source/Buprestidae/Chrysochroa (Megaloxantha) descarpentriesi 39717cz19.jpg,true,Chrysochroa (Megaloxantha) descarpentriesi
/home/nnoe/openup_images_source/Buprestidae/Chrysochroa (Megaloxantha) descarpentriesi 39720cz22.jpg,true,Chrysochroa (Megaloxantha) descarpentriesi
/home/nnoe/openup_images_source/Buprestidae/Chrysochroa (Megaloxantha) descarpentriesi 39732.jpg,true,Chrysochroa (Megaloxantha) descarpentriesi
/home/nnoe/openup_images_source/Buprestidae/Chrysochroa (Megaloxantha) hemixantha 39724.jpg,true,Chrysochroa (Megaloxantha) hemixantha
/home/nnoe/openup_images_source/Buprestidae/Chrysochroa (Megaloxantha) hemixantha 39726cz28.jpg,true,Chrysochroa (Megaloxantha) hemixantha
/home/nnoe/openup_images_source/Buprestidae/Chrysochroa (Megaloxantha) hemixantha 39729cz31.jpg,true,Chrysochroa (Megaloxantha) hemixantha
/home/nnoe/openup_images_source/Buprestidae/Chrysochroa buqueti fruhstorferi 38624cz26.jpg,true,Chrysochroa buqueti fruhstorferi
/home/nnoe/openup_images_source/Buprestidae/Chrysochroa buqueti hermanni 38621cz23.jpg,true,Chrysochroa buqueti hermanni
/home/nnoe/openup_images_source/Buprestidae/Chrysochroa buqueti mirabilis 38627cz29 copie.jpg,true,Chrysochroa buqueti mirabilis
/home/nnoe/openup_images_source/Buprestidae/Chrysochroa buqueti rugicollis 38630cz32.jpg,true,Chrysochroa buqueti rugicollis
/home/nnoe/openup_images_source/Buprestidae/Chrysochroa caroli 39525cz27.jpg,true,Chrysochroa caroli
/home/nnoe/openup_images_source/Buprestidae/Chrysochroa catoxantha eburnea  38618cz20.jpg,true,Chrysochroa catoxantha eburnea
/home/nnoe/openup_images_source/Buprestidae/Chrysochroa catoxantha eburnea 38618cz20.jpg,true,Chrysochroa catoxantha eburnea
/home/nnoe/openup_images_source/Buprestidae/Chrysochroa crhysoides 39528cz30.jpg,true,Chrysochroa crhysoides
/home/nnoe/openup_images_source/Buprestidae/Chrysochroa cuprascens 39531cz33.jpg,true,Chrysochroa cuprascens
/home/nnoe/openup_images_source/Buprestidae/Chrysochroa ephippigera toulgoeti 39516cz18.jpg,true,Chrysochroa ephippigera toulgoeti
/home/nnoe/openup_images_source/Buprestidae/Chrysochroa ephippigera toulgoeti 39519cz21.jpg,true,Chrysochroa ephippigera toulgoeti
/home/nnoe/openup_images_source/Buprestidae/Chrysochroa fulminans chrysina 39537cz39.JPG,false
/home/nnoe/openup_images_source/Buprestidae/Chrysochroa ignita 39534cz36.JPG,false
/home/nnoe/openup_images_source/Buprestidae/Chrysochroa kaupii 39522cz24.jpg,true,Chrysochroa kaupii
/home/nnoe/openup_images_source/Buprestidae/Chrysochroa kraussei 39640cz42.jpg,true,Chrysochroa kraussei
/home/nnoe/openup_images_source/Buprestidae/Chrysochroa kraussei 39643cz47.jpg,true,Chrysochroa kraussei
/home/nnoe/openup_images_source/Buprestidae/Chrysochroa lepida 39688cz91.jpg,true,Chrysochroa lepida
/home/nnoe/openup_images_source/Buprestidae/Chrysochroa lepida 39692cz95.jpg,true,Chrysochroa lepida
/home/nnoe/openup_images_source/Buprestidae/Chrysochroa mniszechi viridisplendens 39700cz03.jpg,true,Chrysochroa mniszechi viridisplendens
/home/nnoe/openup_images_source/Buprestidae/Chrysochroa purpureiventris 39704cz07.JPG,false
/home/nnoe/openup_images_source/Buprestidae/Chrysochroa sublineata 39696cz99.jpg,true,Chrysochroa sublineata
/home/nnoe/openup_images_source/Buprestidae/Chrysochroa unidentata mutabilis 39649cz53.jpg,true,Chrysochroa unidentata mutabilis
/home/nnoe/openup_images_source/Buprestidae/Chrysochroa unidentata mutabilis 39654cz59.jpg,true,Chrysochroa unidentata mutabilis
/home/nnoe/openup_images_source/Buprestidae/Chrysochroa vittata 39625cz27.jpg,true,Chrysochroa vittata
/home/nnoe/openup_images_source/Buprestidae/Chrysochroa vittata 39628cz30.jpg,true,Chrysochroa vittata
/home/nnoe/openup_images_source/Buprestidae/Chrysodema lottinii 42280cz84.jpg,true,Chrysodema lottinii
/home/nnoe/openup_images_source/Buprestidae/Chrysodema mniszechi 42276cz79.jpg,true,Chrysodema mniszechi
/home/nnoe/openup_images_source/Buprestidae/Chrysodema radians 42271cz75.jpg,true,Chrysodema radians
/home/nnoe/openup_images_source/Buprestidae/Chrysodema smaragdula aurifera 42285cz89.jpg,true,Chrysodema smaragdula aurifera
/home/nnoe/openup_images_source/Buprestidae/Colobogaster semisuturalis 42135.jpg,true,Colobogaster semisuturalis
/home/nnoe/openup_images_source/Buprestidae/Conognatha iris 42106.jpg,true,Conognatha iris
/home/nnoe/openup_images_source/Buprestidae/Conognatha vulnerata 42107cz10.jpg,true,Conognatha vulnerata
/home/nnoe/openup_images_source/Buprestidae/Curis caloptera 42065cz69.jpg,true,Curis caloptera
/home/nnoe/openup_images_source/Buprestidae/Curis caloptera 42070cz74.jpg,true,Curis caloptera
/home/nnoe/openup_images_source/Buprestidae/Curis viridicyanea 4 2088cz94.jpg,true,Curis viridicyanea 4
/home/nnoe/openup_images_source/Buprestidae/Curis viridicyanea 42095cz98.jpg,true,Curis viridicyanea
/home/nnoe/openup_images_source/Buprestidae/Curis viridicyanea 42099cz05.jpg,true,Curis viridicyanea
/home/nnoe/openup_images_source/Buprestidae/Cyphogastra albertii 42180cz83.jpg,true,Cyphogastra albertii
/home/nnoe/openup_images_source/Buprestidae/Cyphogastra buyri sulcicollis 42184cz88.jpg,true,Cyphogastra buyri sulcicollis
/home/nnoe/openup_images_source/Buprestidae/Cyphogastra callipyga 42189cz92.jpg,true,Cyphogastra callipyga
/home/nnoe/openup_images_source/Buprestidae/Cyphogastra farinosa 42193cz97.jpg,true,Cyphogastra farinosa
/home/nnoe/openup_images_source/Buprestidae/Cyphogastra farinosa 42204cz07.jpg,true,Cyphogastra farinosa
/home/nnoe/openup_images_source/Buprestidae/Cyphogastra javanica 42208cz12.jpg,true,Cyphogastra javanica
/home/nnoe/openup_images_source/Buprestidae/Cyphogastra pistor 42218cz21.jpg,true,Cyphogastra pistor
/home/nnoe/openup_images_source/Buprestidae/Cyphogastra pistor 42222cz25.jpg,true,Cyphogastra pistor
/home/nnoe/openup_images_source/Buprestidae/Cyphogastra vulnerata 42226cz30.jpg,true,Cyphogastra vulnerata
/home/nnoe/openup_images_source/Buprestidae/Cyphogastra vulnerata 42231cz33.jpg,true,Cyphogastra vulnerata
/home/nnoe/openup_images_source/Buprestidae/Cyphogenia javanica 42213cz17.jpg,true,Cyphogenia javanica
/home/nnoe/openup_images_source/Buprestidae/Cyria australis 42144cz47.jpg,true,Cyria australis
/home/nnoe/openup_images_source/Buprestidae/Cyria australis 42148cz50.jpg,true,Cyria australis
/home/nnoe/openup_images_source/Buprestidae/Cyria australis 42151cz53.jpg,true,Cyria australis
/home/nnoe/openup_images_source/Buprestidae/Cyria australis 42154cz57.jpg,true,Cyria australis
/home/nnoe/openup_images_source/Buprestidae/Cyria australis 42161cz63.jpg,true,Cyria australis
/home/nnoe/openup_images_source/Buprestidae/Cyria vittigera 42170cz72.jpg,true,Cyria vittigera
