unitid,format,licenseuri,fileuri,scientificname,typifiedname,family,subfamily,genus,species,subspecies,zoogeoregion,countrycode,country,province,station,eventdate,view
1,image/jpeg,http://creativecommons.org/licenses/by-sa/3.0/,http://projects.biodiversity.be/openup/rbins/1.jpg,Phaeotragus gigas,Phaeotragus gigas,Anthribidae,"",Phaeotragus,gigas,,AT,GQ,Equatorial Guinea,,Benito,,Dorsal
2,image/jpeg,http://creativecommons.org/licenses/by-sa/3.0/,http://projects.biodiversity.be/openup/rbins/2.jpg,Phaeotragus gigas,Phaeotragus gigas,Anthribidae,"",Phaeotragus,gigas,,AT,GQ,Equatorial Guinea,,Benito,,Lateral
3,image/jpeg,http://creativecommons.org/licenses/by-sa/3.0/,http://projects.biodiversity.be/openup/rbins/3.jpg,Tophroderes phrenatus,Tophroderes phrenatus,Anthribidae,"",Tophroderes,phrenatus,,AT,MG,Madagascar,,,,Dorsal
4,image/jpeg,http://creativecommons.org/licenses/by-sa/3.0/,http://projects.biodiversity.be/openup/rbins/4.jpg,Eutrachelus temmincki,Eutrachelus temmincki,Brentidae,"",Eutrachelus,temmincki,,OL,ID,Indonesia,Sumatra,,,Dorsal
5,image/jpeg,http://creativecommons.org/licenses/by-sa/3.0/,http://projects.biodiversity.be/openup/rbins/5.jpg,Eutrachelus temmincki,Eutrachelus temmincki,Brentidae,"",Eutrachelus,temmincki,,OL,ID,Indonesia,Sumatra,,,Dorsal
6,image/jpeg,http://creativecommons.org/licenses/by-sa/3.0/,http://projects.biodiversity.be/openup/rbins/6.jpg,Eutrachelus temmincki,Eutrachelus temmincki,Brentidae,"",Eutrachelus,temmincki,,OL,ID,Indonesia,Sumatra,,,Lateral
7,image/jpeg,http://creativecommons.org/licenses/by-sa/3.0/,http://projects.biodiversity.be/openup/rbins/7.jpg,Aaata finchi,Aaata finchi,Buprestidae,"",Aaata,finchi,,PA,UZ,Uzbekistan,,,,Dorsal
8,image/jpeg,http://creativecommons.org/licenses/by-sa/3.0/,http://projects.biodiversity.be/openup/rbins/8.jpg,Aaata finchi,Aaata finchi,Buprestidae,"",Aaata,finchi,,PA,UZ,Uzbekistan,,,,Lateral
9,image/jpeg,http://creativecommons.org/licenses/by-sa/3.0/,http://projects.biodiversity.be/openup/rbins/9.jpg,Actenodes costipennis,Actenodes costipennis,Buprestidae,"",Actenodes,costipennis,,NT,BR,Brazil,Santa Catarina ,Nova Teutônia ,,Dorsal
10,image/jpeg,http://creativecommons.org/licenses/by-sa/3.0/,http://projects.biodiversity.be/openup/rbins/10.jpg,Archardella americana,Archardella americana,Buprestidae,"",Archardella,americana,,NT,AR,Argentina,,,,Dorsal
11,image/jpeg,http://creativecommons.org/licenses/by-sa/3.0/,http://projects.biodiversity.be/openup/rbins/11.jpg,Buprestis panamensis,Buprestis panamensis,Buprestidae,"",Buprestis,panamensis,,NT,CR,Costa Rica,,,,Ventral
12,image/jpeg,http://creativecommons.org/licenses/by-sa/3.0/,http://projects.biodiversity.be/openup/rbins/12.jpg,Buprestis panamensis,Buprestis panamensis,Buprestidae,"",Buprestis,panamensis,,NT,CR,Costa Rica,,,,Dorsal
13,image/jpeg,http://creativecommons.org/licenses/by-sa/3.0/,http://projects.biodiversity.be/openup/rbins/13.jpg,Buprestis rufipes,Buprestis rufipes,Buprestidae,"",Buprestis,rufipes,,NA,US,United States,Texas,,,Dorsal
14,image/jpeg,http://creativecommons.org/licenses/by-sa/3.0/,http://projects.biodiversity.be/openup/rbins/14.jpg,Calodema kirbyi,Calodema kirbyi,Buprestidae,"",Calodema,kirbyi,,AU,AU,Australia,Queensland ,South Johnstone ,,Dorsal
15,image/jpeg,http://creativecommons.org/licenses/by-sa/3.0/,http://projects.biodiversity.be/openup/rbins/15.jpg,Calodema plebeja,Calodema plebeja,Buprestidae,"",Calodema,plebeja,,AU,AU,Australia,Queensland ,Cooktown,,Dorsal
